Rank,Market,State,Counties  (or county-equivalents)  covered,TV households (2019–20),Local ABC affiliate,Local CBS affiliate,Local NBC affiliate,Local Fox affiliate,Local CW affiliate,Local MyNetworkTV affiliate,Local PBS member station,Local Ion Television affiliate,Local Telemundo affiliate,Local Univision affiliate,Local Independent stations,Other significant television stations
1,New York,New York,"New York: Bronx, Dutchess, Kings, Nassau, New York, Orange, Putnam, Queens, Richmond, Rockland, Suffolk, Sullivan, Ulster, Westchester
Connecticut: Fairfield
New Jersey: Bergen, Essex, Hudson, Hunterdon, Middlesex, Monmouth, Morris, Ocean, Passaic, Somerset, Sussex, Union, Warren
Pennsylvania: Pike","6,824,120 (6.337%)",WABC-TV 7,WCBS-TV 2,WNBC 4,WNYW 5,WPIX 11,WWOR-TV 9,"WNET 13
WLIW 21
WNJM 50
WNJB 58",WPXN-TV 31,WNJU 47,WXTV-DT 41,WLNY-TV 55 WMBC-TV 63 WRNN-TV 48,"WFTY-DT 67 Justice
WFUT-DT 68 UniM�s
WJLP 33 MeTV
WNYE-TV 25 Educ.
WPXO-LD 34 ATev�
WTBY-TV 54 TBN"
2,Los Angeles,California,"Inyo, Kern (Sierra Nevada), Los Angeles, Orange, Riverside (except Coachella Valley), San Bernardino,Ventura","5,145,350 (4.808%)",KABC-TV 7,KCBS-TV 2,KNBC 4,KTTV 11,KTLA 5,KCOP-TV 13,"KOCE-TV 50
KCET 28
KVCR-DT 24
KLCS 58",KPXN-TV 30,KVEA 52,KMEX 34,"KCAL-TV 9
KDOC-TV 56
KWHY-TV 22
KSCI 18","KFTR-DT 46 UniM�s
KTBN-TV 40 TBN
KAZA-TV 54 MeTV"
3,Chicago,Illinois,"Illinois:Cook, DeKalb,DuPage, Grundy,Kane, Kankakee,Kendall, Lake,LaSalle, McHenry,Will
Indiana:Jasper, Lake,LaPorte, Newton,Porter","3,256,400 (3.043%)",WLS-TV 7,WBBM-TV 2,WMAQ-TV 5,WFLD 32,WCIU-TV 26,WPWR-TV 50,WTTW 11,WCPX-TV 38,WSNS-TV 44,WGBO-DT 66,WGN-TV 9WMEU-CD 48,WWME-CD 23 (MeTV)WWTO-TV 35 (TBN)WXFT-DT 60 (UniMás)WOCK-CD 13 (Ads)
4,Philadelphia,Pennsylvania,"Pennsylvania:Berks, Bucks,Chester, Delaware,Lehigh, Montgomery,Northampton, Philadelphia
New Jersey:Atlantic, Burlington,Camden, Cape May,Cumberland, Gloucester,Mercer, Salem
Delaware:Kent, New Castle","2,758,330 (2.578%)",WPVI-TV 6,KYW-TV 3,WCAU 10,WTXF-TV 29,WPSG 57,WPHL-TV 17,WHYY-TV 12WLVT-TV 39WNJS 23,WPPX-TV 61,WWSI 62,WUVP-DT 65,WFMZ-TV 69WACP 4WMCN-TV 44WBPH-TV 60,WFPA-CD 28 (UniMás)WGTW-TV 48 (TBN)WDPN-TV 2 (MeTV)WPPT 35 (Public)WMGM-TV 40 (Justice)WTVE 51 (SBN)WPSJ-CD 8 (SBN)
5,Dallas-Fort Worth,Texas,"Anderson, Bosque, Collin, Comanche, Cooke, Dallas, Delta, Denton, Ellis, Erath, Fannin, Freestone, Hamilton, Henderson, Hill, Hood, Hopkins, Hunt, Jack, Johnson, Kaufman, Lamar, Montague, Navarro, Palo Pinto, Parker, Rains, Rockwall, Somervell, Tarrant, Van Zandt, Wise","2,563,320 (2.395%)",WFAA 8,KTVT 11,KXAS-TV 5,KDFW 4,KDAF 33,KDFI 27,KERA-TV 13,KPXD-TV 68,KXTX-TV 39,KUVN-DT 23,KTXA 21,KSTR-DT 49 (UniMás)KDTX-TV 58 (TBN)
6,San Francisco-Oakland-San Jose,California,"Alameda, Contra Costa, Lake, Marin, Mendocino, Napa, San Francisco, San Mateo, Santa Clara, Solano (west), Sonoma","2,364,740 (2.21%)",KGO-TV 7,KPIX-TV 5,KNTV 11,KTVU 2,KBCW 44,KRON-TV 4,KQED 9KQEH 54,KKPX-TV 65,KSTS 48,KDTV 14,KICU-TV 36KOFY-TV 20KTSF 26KEMO-TV 50,KFSF-DT 66 (UniMás)KCNS 38 (SBN)KAXT-CD 1 (Decades)
7,Washington (Hagerstown),District of Columbia,"District of Columbia:Washington
Virginia: Alexandria (city),[3]Arlington,Clarke, Culpeper,Fairfax, Fairfax (city),[3]Falls Church (city),[3]Fauquier,Frederick, Fredericksburg (city),[3]King George, Loudoun,Manassas (city),[3]Manassas Park (city),[3]Page, Prince William,Rappahannock, Shenandoah,Spotsylvania, Stafford,Warren, Westmoreland,Winchester (city)[3]
Maryland:Allegany, Calvert,Charles, Frederick,Montgomery,Prince George's, St. Mary's,Washington
West Virginia:Berkeley, Grant,Hampshire, Hardy,Jefferson, Mineral,Morgan
Pennsylvania:Franklin, Fulton","2,351,930 (2.198%)",WJLA-TV 7,WUSA 9,WRC-TV 4,WTTG 5,WDCW 50,WDCA 20,WETA-TV 26WHUT-TV 32,WPXW-TV 66/WWPX-TV 60,WZDC-CD 44,WFDC-DT 14,WDVM-TV 25,WJAL 68 (LATV)WMDO-CD 47 (UniMás)W22DA (3ABN)W42CK (3ABN)
8,Houston,Texas,"Austin, Brazoria, Calhoun, Chambers, Colorado, Fort Bend, Galveston, Grimes, Harris, Jackson, Liberty, Matagorda, Montgomery, Polk, San Jacinto, Walker, Waller, Washington, Wharton","2,330,180 (2.178%)",KTRK-TV 13,KHOU 11,KPRC-TV 2,KRIV 26,KIAH 39,KTXH 20,KUHT 8,KPXB-TV 49,KTMD 47,KXLN-DT 45,KUBE-TV 57,KFTH-DT 67 (UniMás)KETH-TV 14 (TBN)
9,Boston (Manchester),Massachusetts,"Massachusetts:Barnstable, Dukes, Essex, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester
New Hampshire:Belknap, Cheshire, Hillsborough, Merrimack, Rockingham, Strafford
Vermont:Windham","2,302,680 (2.152%)",WCVB-TV 5WMUR-TV 9,WBZ-TV 4,WBTS-CD 15,WFXT 25,WLVI 56,WSBK-TV 38,WGBH-TV 2WGBX-TV 44,WBPX-TV 68,WNEU 60,WUNI 66,WHDH 7,WUTF-DT 27 (UniMás)
10,Atlanta,Georgia,"Georgia:Banks, Barrow,Bartow, Butts,Carroll, Chattooga,Cherokee, Clarke,Clayton, Cobb,Coweta, Dawson,DeKalb, Douglas,Fayette, Floyd,Forsyth, Fulton,Gilmer, Gordon,Greene, Gwinnett,Habersham, Hall,Haralson, Heard,Henry, Jackson,Jasper, Lamar,Lumpkin, Madison,Meriwether, Morgan,Newton, Oconee,Oglethorpe, Paulding,Pickens, Pike,Polk, Putnam,Rabun, Rockdale,Spalding, Towns,Troup, Union,Upson, Walton,White
Alabama:Cleburne, Randolph
North Carolina:Clay","2,269,270 (2.121%)",WSB-TV 2,WGCL-TV 46,WXIA-TV 11,WAGA-TV 5,WUPA 69,WATL 36,WGTV 8WPBA 30,WPXA-TV 14,WKTB-CD 47,WUVG-DT 34,WPCH-TV 17,WHSG-TV 63 (TBN)
11,Phoenix (Prescott),Arizona,"Apache (southern third), Coconino, Gila, Graham, Greenlee, La Paz, Maricopa, Mohave, Navajo, Pinal, Yavapai","1,879,780 (1.757%)",KNXV-TV 15,KPHO-TV 5,KPNX 12/KNAZ-TV 2,KSAZ-TV 10,KASW 61,KUTP 45,KAET 8,KPPX-TV 51,KTAZ 39,"KTVW-DT 33/
KTVW-CD 6/
KDOS-LD 50","KTVK 3
KAZT-TV 7",KFPH-DT 13 (UniMás)KPAZ-TV 21 (TBN)
12,Tampa-St. Petersburg (Sarasota),Florida,"Citrus, Hardee, Hernando, Highlands, Hillsborough, Manatee, Pasco, Pinellas, Polk, Sarasota","1,800,600 (1.683%)",WFTS-TV 28WWSB 40,WTSP 10,WFLA-TV 8,WTVT 13,WTOG 44,WTTA 38,WEDU 3,WXPX-TV 66,WRMD-CD 49,WVEA-TV 50,WMOR-TV 32,WFTT-DT 62 (UniMás)W05CO (3ABN)
13,Seattle-Tacoma,Washington,"Chelan, Clallam, Douglas, Grays Harbor, Island, Jefferson, King, Kitsap, Lewis, Mason, Pacific, Pierce, San Juan, Skagit, Snohomish, Thurston, Whatcom","1,764,680 (1.649%)",KOMO-TV 4,KIRO-TV 7,KING-TV 5,KCPQ 13,KSTW 11,KZJO 22,KCTS-TV 9KBTC-TV 28,KWPX-TV 33,KWPX-TV 33.7,KUNS-TV 51,KONG 16,KTBW-TV 20 (TBN)K08OU-D (3ABN)KFFV 44 (MeTV)
14,Detroit,Michigan,"Lapeer, Livingston, Macomb, Monroe, Oakland, St. Clair, Sanilac, Washtenaw, Wayne","1,737,170 (1.623%)",WXYZ-TV 7,WWJ-TV 62,WDIV-TV 4,WJBK 2,WKBD-TV 50,WMYD 20,WTVS 56,WPXD-TV 31,,,WADL 38,WHNE-LD 14 (Light TV)WDWO-CD 18 (TCT)CBET-DT 9 (CBC)CHWI-DT-60 26 (CTV 2)CICO-DT-32 19 (TVO)
15,Minneapolis-St. Paul,Minnesota,"Minnesota:Anoka, Beltrami,Benton, Big Stone,Carver, Cass,Chippewa, Chisago,Cottonwood, Crow Wing,Dakota, Douglas,Faribault, Goodhue,Grant, Hennepin,Hubbard, Isanti,Jackson, Kanabec,Kandiyohi, Lac qui Parle,Le Sueur, Lyon,McLeod, Meeker,Mille Lacs, Morrison,Nicollet, Pine,Pope, Ramsey,Redwood, Renville,Rice, Scott,Sherburne, Sibley,Stearns, Steele,Stevens, Swift,Todd, Traverse,Wabasha, Wadena,Waseca, Washington,Wright, Yellow Medicine
Wisconsin:Barron, Burnett,Dunn, Pepin,Pierce, Polk,St. Croix","1,697,370 (1.586%)",KSTP-TV 5/KSAX 42/KRWF 43,WCCO-TV 4/KCCW-TV 12,KARE 11,KMSP-TV 9,WUCW 23,WFTC 29/KFTC 26,KTCA-TV 2/KTCI-TV 2.3,KPXM-TV 41,KJNK-LD 25,WUMN-LD 17,KSTC-TV 45,K33LN-D (3ABN)
16,Miami-Fort Lauderdale,Florida,"Broward, Miami-Dade, Monroe","1,642,220 (1.535%)",WPLG 10,WFOR-TV 4,WTVJ 6,WSVN 7,WSFL-TV 39,WBFS-TV 33,WPBT 2WLRN-TV 17,WPXM-TV 35,WSCV 51,WLTV-DT 23,,WAMI-DT 69 (UniMás)WHFT-TV 45 (TBN)
17,Denver,Colorado,"Colorado:Adams, Alamosa,Arapahoe, Archuleta,Boulder, Broomfield,Chaffee, Clear Creek,Conejos, Custer,Delta, Denver,Douglas, Eagle,Elbert, Garfield,Gilpin, Grand,Gunnison, Hinsdale,Jackson, Jefferson,Kit Carson, Lake,Larimer, Lincoln,Logan, Mineral,Moffat, Morgan,Ouray, Park,Phillips, Pitkin,Prowers, Rio Blanco,Rio Grande, Routt,Saguache, San Juan,San Miguel, Sedgwick,Summit, Washington,Weld, Yuma
Nebraska:Box Butte, Cheyenne,Dawes, Deuel,Garden, Keith,Kimball
Wyoming:Albany, Campbell,Carbon, Niobrara,Platte","1,532,320 (1.432%)",KMGH-TV 7,KCNC-TV 4,KUSA 9,KDVR 31/KFCT 22,KWGN-TV 2,KTVD 20,KRMA-TV 6KBDI-TV 12,KPXC-TV 59,KDEN-TV 25,KCEC-TV 14,,KPJR-TV 38 (TBN)KTFD-TV 50 (UniMás)
18,Orlando-Daytona Beach-Melbourne,Florida,"Brevard, Flagler, Lake, Marion, Orange, Osceola, Seminole, Sumter, Volusia","1,492,640 (1.395%)",WFTV 9,WKMG-TV 6,WESH 2,WOFL 35,WKCF 18,WRBW 65,WUCF-TV 24,WOPX-TV 56,WTMO-CD 31,WVEN-TV 43,WRDQ 27,WHLV-TV 52 (TBN)WOTF-TV 26 (UniMás)W32DJ-D (3ABN)
19,Cleveland-Akron (Canton),Ohio,"Ashland, Ashtabula, Carroll, Cuyahoga, Erie, Geauga, Holmes, Huron, Lake, Lorain, Medina, Portage, Richland, Stark, Summit, Tuscarawas, Wayne","1,366,110 (1.277%)",WEWS-TV 5,WOIO 19,WKYC 3,WJW 8,WUAB 43,"WOIO 19.2
(MeTV is the primary affiliate)",WVIZ 25WEAO 49,WVPX-TV 23,,WQHS-DT 61,WBNX-TV 55WMFD-TV 68,WDLI-TV 17 (Ion Plus)WQDI-LD 20 (Azteca TV)
20,Sacramento-Stockton-Modesto,California,"Amador, Calaveras, Colusa, El Dorado (west), Nevada, Placer, Plumas, Sacramento, San Joaquin, Sierra, Solano (east), Stanislaus, Sutter, Tuolumne, Yolo, Yuba","1,317,500 (1.231%)",KXTV 10,KOVR 13,KCRA-TV 3,KTXL 40,KMAX-TV 31,KQCA 58,KVIE 6,KSPX 29,KCSO-LD 33,KUVS-DT 19,,K20JX-D (3ABN)
